County,Transportation_Cost,1 Adult (19–50),2 Adults (19–50),"1 Adult, 1 Child","2 Adults, 2 Children",1 Adult 65+,2 Adults 65+,
"Accomack County, Virginia",13553.99,1129.5,2259,1129.5,2259,564.75,1129.5,3146.462857
"Albemarle County, Virginia",12510.4,1042.53,2085.07,1042.53,2085.07,521.27,1042.53,
"Alleghany County, Virginia",13964,1163.67,2327.33,1163.67,2327.33,581.83,1163.67,
"Amelia County, Virginia",11623.23,968.6,1937.2,968.6,1937.2,484.3,968.6,
"Amherst County, Virginia",13201.04,1100.09,2200.17,1100.09,2200.17,550.04,1100.09,
"Appomattox County, Virginia",14168.64,1180.72,2361.44,1180.72,2361.44,590.36,1180.72,
"Arlington County, Virginia",8713.81,726.15,1452.3,726.15,1452.3,363.08,726.15,
"Augusta County, Virginia",14622.21,1218.52,2437.03,1218.52,2437.03,609.26,1218.52,
"Bath County, Virginia",15687.9,1307.33,2614.65,1307.33,2614.65,653.66,1307.33,
"Bedford County, Virginia",13971.73,1164.31,2328.62,1164.31,2328.62,582.16,1164.31,
"Bland County, Virginia",13827.3,1152.27,2304.55,1152.27,2304.55,576.14,1152.27,
"Botetourt County, Virginia",13758.17,1146.51,2293.03,1146.51,2293.03,573.26,1146.51,
"Brunswick County, Virginia",12835.3,1069.61,2139.22,1069.61,2139.22,534.8,1069.61,
"Buchanan County, Virginia",14229.38,1185.78,2371.56,1185.78,2371.56,592.89,1185.78,
"Buckingham County, Virginia",12103.29,1008.61,2017.22,1008.61,2017.22,504.3,1008.61,
"Campbell County, Virginia",14489.77,1207.48,2414.96,1207.48,2414.96,603.74,1207.48,
"Caroline County, Virginia",12282.02,1023.5,2047,1023.5,2047,511.75,1023.5,
"Carroll County, Virginia",14211.7,1184.31,2368.62,1184.31,2368.62,592.15,1184.31,
"Charles City County, Virginia",12392.24,1032.69,2065.37,1032.69,2065.37,516.34,1032.69,
"Charlotte County, Virginia",15785.64,1315.47,2630.94,1315.47,2630.94,657.74,1315.47,
"Chesterfield County, Virginia",13140.12,1095.01,2190.02,1095.01,2190.02,547.5,1095.01,
"Clarke County, Virginia",12839.27,1069.94,2139.88,1069.94,2139.88,534.97,1069.94,
"Craig County, Virginia",13958.54,1163.21,2326.42,1163.21,2326.42,581.61,1163.21,
"Culpeper County, Virginia",13263.79,1105.32,2210.63,1105.32,2210.63,552.66,1105.32,
"Cumberland County, Virginia",12743.1,1061.92,2123.85,1061.92,2123.85,530.96,1061.92,
"Dickenson County, Virginia",13371.25,1114.27,2228.54,1114.27,2228.54,557.14,1114.27,
"Dinwiddie County, Virginia",13365.45,1113.79,2227.58,1113.79,2227.58,556.89,1113.79,
"Essex County, Virginia",13255.65,1104.64,2209.28,1104.64,2209.28,552.32,1104.64,
"Fairfax County, Virginia",10751.67,895.97,1791.94,895.97,1791.94,447.99,895.97,
"Fauquier County, Virginia",12956.62,1079.72,2159.44,1079.72,2159.44,539.86,1079.72,
"Floyd County, Virginia",13081.86,1090.15,2180.31,1090.15,2180.31,545.08,1090.15,
"Fluvanna County, Virginia",12371.11,1030.93,2061.85,1030.93,2061.85,515.46,1030.93,
"Franklin County, Virginia",12865.83,1072.15,2144.3,1072.15,2144.3,536.08,1072.15,
"Frederick County, Virginia",13307.52,1108.96,2217.92,1108.96,2217.92,554.48,1108.96,
"Giles County, Virginia",15038.79,1253.23,2506.47,1253.23,2506.47,626.62,1253.23,
"Gloucester County, Virginia",14126.71,1177.23,2354.45,1177.23,2354.45,588.61,1177.23,
"Goochland County, Virginia",13248.64,1104.05,2208.11,1104.05,2208.11,552.03,1104.05,
"Grayson County, Virginia",13323.47,1110.29,2220.58,1110.29,2220.58,555.14,1110.29,
"Greene County, Virginia",13024.78,1085.4,2170.8,1085.4,2170.8,542.7,1085.4,
"Greensville County, Virginia",13820.26,1151.69,2303.38,1151.69,2303.38,575.84,1151.69,
"Halifax County, Virginia",13700.7,1141.73,2283.45,1141.73,2283.45,570.86,1141.73,
"Hanover County, Virginia",13361.74,1113.48,2226.96,1113.48,2226.96,556.74,1113.48,
"Henrico County, Virginia",13301.6,1108.47,2216.93,1108.47,2216.93,554.23,1108.47,
"Henry County, Virginia",15052.12,1254.34,2508.69,1254.34,2508.69,627.17,1254.34,
"Highland County, Virginia",10732.1,894.34,1788.68,894.34,1788.68,447.17,894.34,
"Isle of Wight County, Virginia",14298.93,1191.58,2383.16,1191.58,2383.16,595.79,1191.58,
"James City County, Virginia",14068.33,1172.36,2344.72,1172.36,2344.72,586.18,1172.36,
"King and Queen County, Virginia",12603.26,1050.27,2100.54,1050.27,2100.54,525.14,1050.27,
"King George County, Virginia",13146.62,1095.55,2191.1,1095.55,2191.1,547.78,1095.55,
"King William County, Virginia",11787.39,982.28,1964.56,982.28,1964.56,491.14,982.28,
"Lancaster County, Virginia",14378.62,1198.22,2396.44,1198.22,2396.44,599.11,1198.22,
"Lee County, Virginia",15562.8,1296.9,2593.8,1296.9,2593.8,648.45,1296.9,
"Loudoun County, Virginia",11050.83,920.9,1841.81,920.9,1841.81,460.45,920.9,
"Louisa County, Virginia",13026.56,1085.55,2171.09,1085.55,2171.09,542.77,1085.55,
"Lunenburg County, Virginia",13394.06,1116.17,2232.34,1116.17,2232.34,558.09,1116.17,
"Madison County, Virginia",12438.84,1036.57,2073.14,1036.57,2073.14,518.28,1036.57,
"Mathews County, Virginia",13239.81,1103.32,2206.63,1103.32,2206.63,551.66,1103.32,
"Mecklenburg County, Virginia",14678.72,1223.23,2446.45,1223.23,2446.45,611.61,1223.23,
"Middlesex County, Virginia",12115.69,1009.64,2019.28,1009.64,2019.28,504.82,1009.64,
"Montgomery County, Virginia",13420.71,1118.39,2236.78,1118.39,2236.78,559.2,1118.39,
"Nelson County, Virginia",11074.01,922.83,1845.67,922.83,1845.67,461.42,922.83,
"New Kent County, Virginia",11862.65,988.55,1977.11,988.55,1977.11,494.28,988.55,
"Northampton County, Virginia",12761.95,1063.5,2126.99,1063.5,2126.99,531.75,1063.5,
"Northumberland County, Virginia",10945.87,912.16,1824.31,912.16,1824.31,456.08,912.16,
"Nottoway County, Virginia",14995.08,1249.59,2499.18,1249.59,2499.18,624.8,1249.59,
"Orange County, Virginia",12726.5,1060.54,2121.08,1060.54,2121.08,530.27,1060.54,
"Page County, Virginia",12621.22,1051.77,2103.54,1051.77,2103.54,525.88,1051.77,
"Patrick County, Virginia",12704.28,1058.69,2117.38,1058.69,2117.38,529.34,1058.69,
"Pittsylvania County, Virginia",15101.28,1258.44,2516.88,1258.44,2516.88,629.22,1258.44,
"Powhatan County, Virginia",11955.66,996.3,1992.61,996.3,1992.61,498.15,996.3,
"Prince Edward County, Virginia",13211.14,1100.93,2201.86,1100.93,2201.86,550.46,1100.93,
"Prince George County, Virginia",11663.02,971.92,1943.84,971.92,1943.84,485.96,971.92,
"Prince William County, Virginia",11989.93,999.16,1998.32,999.16,1998.32,499.58,999.16,
"Pulaski County, Virginia",15897.6,1324.8,2649.6,1324.8,2649.6,662.4,1324.8,
"Rappahannock County, Virginia",11527.69,960.64,1921.28,960.64,1921.28,480.32,960.64,
"Richmond County, Virginia",11006.1,917.18,1834.35,917.18,1834.35,458.59,917.18,
"Roanoke County, Virginia",13953.78,1162.82,2325.63,1162.82,2325.63,581.41,1162.82,
"Rockbridge County, Virginia",13352.06,1112.67,2225.34,1112.67,2225.34,556.34,1112.67,
"Rockingham County, Virginia",13299.84,1108.32,2216.64,1108.32,2216.64,554.16,1108.32,
"Russell County, Virginia",14481.58,1206.8,2413.6,1206.8,2413.6,603.4,1206.8,
"Scott County, Virginia",14915.16,1242.93,2485.86,1242.93,2485.86,621.46,1242.93,
"Shenandoah County, Virginia",13292.46,1107.7,2215.41,1107.7,2215.41,553.85,1107.7,
"Smyth County, Virginia",15590.17,1299.18,2598.36,1299.18,2598.36,649.59,1299.18,
"Southampton County, Virginia",13885.13,1157.09,2314.19,1157.09,2314.19,578.55,1157.09,
"Spotsylvania County, Virginia",12803.55,1066.96,2133.92,1066.96,2133.92,533.48,1066.96,
"Stafford County, Virginia",11407.96,950.66,1901.33,950.66,1901.33,475.33,950.66,
"Surry County, Virginia",13160.75,1096.73,2193.46,1096.73,2193.46,548.36,1096.73,
"Sussex County, Virginia",14626.13,1218.84,2437.69,1218.84,2437.69,609.42,1218.84,
"Tazewell County, Virginia",14713.65,1226.14,2452.28,1226.14,2452.28,613.07,1226.14,
"Warren County, Virginia",13061.65,1088.47,2176.94,1088.47,2176.94,544.24,1088.47,
"Washington County, Virginia",15274.67,1272.89,2545.78,1272.89,2545.78,636.44,1272.89,
"Westmoreland County, Virginia",13155.55,1096.3,2192.59,1096.3,2192.59,548.15,1096.3,
"Wise County, Virginia",14744.86,1228.74,2457.48,1228.74,2457.48,614.37,1228.74,
"Wythe County, Virginia",15520.23,1293.35,2586.7,1293.35,2586.7,646.68,1293.35,
"York County, Virginia",13349.25,1112.44,2224.88,1112.44,2224.88,556.22,1112.44,
"Alexandria city, Virginia",10711.71,892.64,1785.28,892.64,1785.28,446.32,892.64,
"Bristol city, Virginia",15675.85,1306.32,2612.64,1306.32,2612.64,653.16,1306.32,
"Buena Vista city, Virginia",14658.64,1221.55,2443.11,1221.55,2443.11,610.78,1221.55,
"Charlottesville city, Virginia",11111.02,925.92,1851.84,925.92,1851.84,462.96,925.92,
"Chesapeake city, Virginia",14212.75,1184.4,2368.79,1184.4,2368.79,592.2,1184.4,
"Colonial Heights city, Virginia",15576.87,1298.07,2596.14,1298.07,2596.14,649.04,1298.07,
"Covington city, Virginia",14338.29,1194.86,2389.72,1194.86,2389.72,597.43,1194.86,
"Danville city, Virginia",15938.3,1328.19,2656.38,1328.19,2656.38,664.1,1328.19,
"Emporia city, Virginia",16261.34,1355.11,2710.22,1355.11,2710.22,677.56,1355.11,
"Fairfax city, Virginia",10346.94,862.24,1724.49,862.24,1724.49,431.12,862.24,
"Falls Church city, Virginia",10401.07,866.76,1733.51,866.76,1733.51,433.38,866.76,
"Franklin city, Virginia",17795.15,1482.93,2965.86,1482.93,2965.86,741.46,1482.93,
"Fredericksburg city, Virginia",14651.75,1220.98,2441.96,1220.98,2441.96,610.49,1220.98,
"Galax city, Virginia",16468.22,1372.35,2744.7,1372.35,2744.7,686.18,1372.35,
"Hampton city, Virginia",15544.4,1295.37,2590.73,1295.37,2590.73,647.68,1295.37,
"Harrisonburg city, Virginia",13113.94,1092.83,2185.66,1092.83,2185.66,546.41,1092.83,
"Hopewell city, Virginia",14921.8,1243.48,2486.97,1243.48,2486.97,621.74,1243.48,
"Lexington city, Virginia",11276.91,939.74,1879.48,939.74,1879.48,469.87,939.74,
"Lynchburg city, Virginia",14532.66,1211.06,2422.11,1211.06,2422.11,605.53,1211.06,
"Manassas city, Virginia",12197.4,1016.45,2032.9,1016.45,2032.9,508.22,1016.45,
"Manassas Park city, Virginia",12107.29,1008.94,2017.88,1008.94,2017.88,504.47,1008.94,
"Martinsville city, Virginia",16383.04,1365.25,2730.51,1365.25,2730.51,682.63,1365.25,
"Newport News city, Virginia",15607.53,1300.63,2601.26,1300.63,2601.26,650.31,1300.63,
"Norfolk city, Virginia",15406.74,1283.89,2567.79,1283.89,2567.79,641.95,1283.89,
"Norton city, Virginia",15323.24,1276.94,2553.87,1276.94,2553.87,638.47,1276.94,
"Petersburg city, Virginia",16329.33,1360.78,2721.55,1360.78,2721.55,680.39,1360.78,
"Poquoson city, Virginia",14478.55,1206.55,2413.09,1206.55,2413.09,603.27,1206.55,
"Portsmouth city, Virginia",14653.01,1221.08,2442.17,1221.08,2442.17,610.54,1221.08,
"Radford city, Virginia",15800.2,1316.68,2633.37,1316.68,2633.37,658.34,1316.68,
"Richmond city, Virginia",14079.31,1173.28,2346.55,1173.28,2346.55,586.64,1173.28,
"Roanoke city, Virginia",16015.31,1334.61,2669.22,1334.61,2669.22,667.3,1334.61,
"Salem city, Virginia",14908.39,1242.37,2484.73,1242.37,2484.73,621.18,1242.37,
"Staunton city, Virginia",15683.78,1306.98,2613.96,1306.98,2613.96,653.49,1306.98,
"Suffolk city, Virginia",15122.96,1260.25,2520.49,1260.25,2520.49,630.12,1260.25,
"Virginia Beach city, Virginia",14246.67,1187.22,2374.45,1187.22,2374.45,593.61,1187.22,
"Waynesboro city, Virginia",15398.73,1283.23,2566.46,1283.23,2566.46,641.61,1283.23,
"Williamsburg city, Virginia",11457.94,954.83,1909.66,954.83,1909.66,477.41,954.83,
"Winchester city, Virginia",15533.64,1294.47,2588.94,1294.47,2588.94,647.24,1294.47,
